window,day,S0,sigma,exact,MC,Fourier,QAE,QSVT,qae_queries,qae_err
0,29,4.047173500061035,0.21643988110327328,0.12441277822525719,0.12535188377443782,0.12441277609805493,0.12439519253517624,0.12867641254520554,45056,-1.7585690080951233e-05
1,30,4.02477502822876,0.21310682665495578,0.12198605357018627,0.12290376762578842,0.12198605468665004,0.12197351539064433,0.12611277929691933,53248,-1.253817954194325e-05
2,31,3.996534824371338,0.21316340852872742,0.1211594347397964,0.12207098215335319,0.12115942682483379,0.12114604247402526,0.12525910917762906,53248,-1.3392265771142164e-05
3,32,3.9994561672210693,0.21259569009841225,0.12095371302382099,0.12186319039594862,0.12095371876614058,0.1209432534466082,0.1250372728215179,53248,-1.0459577212795779e-05
4,33,3.6965997219085693,0.3043531817079104,0.15740246049246887,0.15866448859705826,0.15740246181210518,0.15738607093191048,0.16231600095950152,73728,-1.6389560558383032e-05
5,34,3.6518044471740723,0.304668797750654,0.15565367707701308,0.15690186079558383,0.1556536676415274,0.15563638835005578,0.16050763349110542,36864,-1.72887269573041e-05
6,35,3.6040873527526855,0.30322045108444984,0.152901464560435,0.15412677953685877,0.15290146289811954,0.15288324805182724,0.15769213563196302,73728,-1.821650860775459e-05
7,36,3.600149631500244,0.2880008629752678,0.14519942407973302,0.14635496155826155,0.14519943609648328,0.14517441636341402,0.14997860792210627,36864,-2.5007716318997675e-05
8,37,3.365849494934082,0.3354076011908499,0.15772118570750193,0.15900312365226843,0.1577211838302549,0.15774245777739138,0.1621641776531364,65536,2.127206988944419e-05
9,38,3.5381290912628174,0.3775336433127409,0.18638871703895754,0.1879305141650812,0.18638871248014413,0.18637019159532972,0.19092350413798098,65536,-1.852544362782038e-05
10,39,3.5322225093841553,0.3766417187830664,0.185641580429027,0.18717664082431426,0.18564157161167277,0.18561985918561885,0.1901727460437724,65536,-2.1721243408157065e-05
11,40,3.4160563945770264,0.38331648988919914,0.18269230168509643,0.1842070635182418,0.18269231593362678,0.1827174173505713,0.18704477643702574,57344,2.511566547486188e-05
12,41,3.4780771732330322,0.38404184369184174,0.1863584881413453,0.1879040994878884,0.18635847976267544,0.18638194996354757,0.19078654750486304,57344,2.3461822202253124e-05
13,42,3.464294910430908,0.3838609792369778,0.1855332723404444,0.18707192737888304,0.18553327246153636,0.1855593321640701,0.1899446415753167,57344,2.6059823625718126e-05
14,43,3.4593725204467773,0.38189386136830694,0.18432755350202792,0.1858549962586288,0.18432756112086898,0.18430885408828615,0.18874183653580698,65536,-1.8699413741773974e-05
15,44,3.4652793407440186,0.38002843172653333,0.18374749076737543,0.185268978345888,0.18374749283946382,0.1837242199023982,0.18817782831936167,65536,-2.327086497722064e-05
16,45,3.475123643875122,0.3797699307040882,0.18414514875275356,0.18566976944362712,0.18414514417207983,0.18412389340987337,0.18858924001469443,65536,-2.125534288019426e-05
17,46,3.477092742919922,0.38014276042430034,0.18442892408907124,0.18595612484734603,0.18442892112685622,0.1844070934553892,0.18887384697762438,65536,-2.1830633682051737e-05
18,47,3.50761079788208,0.3821603459294452,0.18702725599260586,0.1885772368679051,0.1870272448204914,0.18700674993357833,0.1915018447256394,65536,-2.0506059027536327e-05
19,48,3.524346351623535,0.3833899358395985,0.188519536234325,0.19008265988708836,0.18851953945776373,0.18854271386881757,0.19300963437323967,57344,2.31776344925827e-05
20,49,3.5007197856903076,0.38297741329976903,0.1870558043127097,0.18860653322681883,0.18705581161125626,0.1870801959426247,0.19151775751556027,57344,2.4391629914993773e-05
21,50,3.5578181743621826,0.38784857137665313,0.19250649665645284,0.1941055440043685,0.1925065106546179,0.19253431613079727,0.19701711634750302,57344,2.78194743444371e-05
22,51,3.5361599922180176,0.3868808996232788,0.19086073890554478,0.19244550005680403,0.19086073524429206,0.19088832876862794,0.19534877090259314,57344,2.758986308315503e-05
23,52,3.589320421218872,0.39018068657597194,0.19537037907294616,0.19699473235921608,0.19537038689656544,0.19539578070713823,0.1999087948145845,57344,2.54016341920682e-05
24,53,3.5686469078063965,0.3886939905738954,0.19351025648846096,0.19511818660305583,0.19351027466864548,0.19353699175644035,0.19803026537603582,57344,2.6735267979388633e-05
25,54,3.5637245178222656,0.38589477910431297,0.19186186516838905,0.19345430762812327,0.19186187976822455,0.19188809133567014,0.19638982712711228,57344,2.6226167281095947e-05
26,55,3.6277143955230713,0.3914833529427648,0.1981148037712035,0.19976283303927272,0.19811477808269776,0.19814154703983777,0.202694768997977,57344,2.674326863427723e-05
27,56,3.654294490814209,0.380502637760923,0.19400993636116387,0.19561670866464936,0.19400992030671216,0.19398530985050924,0.19867966529160594,65536,-2.4626510654629508e-05
28,57,3.6149163246154785,0.3811205246299738,0.19222849209907608,0.19382090865124657,0.1922284944089257,0.1922079962158385,0.1968449632312098,65536,-2.0495883237575674e-05
29,58,3.6523256301879883,0.3798292220185727,0.1935649709011784,0.19516762103334812,0.1935649864390234,0.19353968339498787,0.1982353921606327,65536,-2.528750619054665e-05
30,59,3.612947463989258,0.3804009153199487,0.1917639126782172,0.19335201823851486,0.19176390352075323,0.19173902104654883,0.1963812864463009,65536,-2.4891631668383374e-05
31,60,3.62180757522583,0.3806843184005145,0.1923762570860108,0.19396961654658604,0.1923762559899435,0.1923511505404082,0.19700360883601006,65536,-2.5106545602615604e-05
32,61,3.6444499492645264,0.3815653448231148,0.19402339314033976,0.1956309676947962,0.19402339401557644,0.19400015235736254,0.19867543431405682,65536,-2.3240782977218544e-05
33,62,3.589320421218872,0.3070642541839015,0.15417375308334108,0.15541139841334997,0.1541737507571086,0.15415834113818191,0.15894414634799456,36864,-1.5411945159166107e-05
34,63,3.6936726570129395,0.3171296558495514,0.16377559380828544,0.16509620867335464,0.16377559386976678,0.16375310456131822,0.16867855993975853,36864,-2.2489246967211107e-05
35,64,3.8462629318237305,0.33539564314147696,0.18022665433206764,0.18169150638043974,0.1802266611795982,0.1802500215339357,0.18530382772094273,65536,2.3367201868074172e-05
36,65,3.8216516971588135,0.336238810233212,0.17951797893707086,0.1809775984073813,0.17951797181586318,0.17953613466676233,0.1845608468207722,65536,1.815572969146584e-05
37,66,3.8246052265167236,0.261426606447515,0.14029981481649267,0.14139666315049626,0.14029981360328891,0.14028486691264994,0.14532943265702183,45056,-1.494790384273803e-05
38,67,3.8374030590057373,0.22144752672275206,0.1204526281520911,0.12136634278512483,0.12045261927312835,0.12043613067473931,0.12465884648742186,45056,-1.6497477351787304e-05
39,68,3.8413407802581787,0.22109997199654613,0.12040341129611666,0.12131644248160889,0.12040340505422126,0.12038325676920567,0.12460253266529264,45056,-2.0154526910995396e-05
40,69,3.8492164611816406,0.1913627880925075,0.10579984563726354,0.10657762404481509,0.10579984813377895,0.10578400166174741,0.10905623276975683,53248,-1.5843975516127706e-05
41,70,3.7694756984710693,0.20016044168849187,0.10791725380415615,0.1087182722720516,0.10791725421906707,0.10790473190471923,0.11137627726933268,53248,-1.2521899436915285e-05
42,71,3.7862114906311035,0.19914200140857527,0.10789562034421109,0.10869560319892513,0.10789561799244335,0.10787905673005448,0.11133835445757455,53248,-1.6563614156611672e-05
43,72,3.7753825187683105,0.19947950898923644,0.10775251333008595,0.10855172509665173,0.1077525126728508,0.10773895969049493,0.11119585155349432,53248,-1.3553639591018518e-05
44,73,3.890563488006592,0.21472491112094955,0.11873405901353158,0.11962876438528722,0.11873406205953961,0.11871705488663852,0.12277626349327668,45056,-1.7004126893066518e-05
45,74,3.9683353900909424,0.21966472120486288,0.12364658578917477,0.12458289169282316,0.12364659511298247,0.12362735543646268,0.12793591983813732,45056,-1.9230352712090726e-05
46,75,3.945693016052246,0.22147265513129602,0.12386458637381076,0.12480420606955919,0.12386458887715174,0.12384283002052526,0.12819035036564996,45056,-2.1756353285495855e-05
47,76,3.947662115097046,0.22133826648421887,0.12385772932889798,0.1247971737084508,0.12385774012325643,0.12383775349332028,0.12818111574623733,45056,-1.9975835577695777e-05
48,77,4.004760265350342,0.22340498887187205,0.12672038040221775,0.12768347210512404,0.12672037858358595,0.1266983108616867,0.13117719639887043,45056,-2.2069540531050036e-05
49,78,3.9545533657073975,0.2266968466340211,0.12681583186336684,0.1277827087369966,0.12681584038726657,0.12679406186591083,0.13132882593926107,45056,-2.1769997456011492e-05
50,79,3.937817335128784,0.22497362558480855,0.1254013686234744,0.12635588097798872,0.1254013585516672,0.12538045064729006,0.1298367715136312,45056,-2.0917976184336995e-05
51,80,3.901392698287964,0.2263899151817865,0.12495617868652682,0.12590859717064362,0.12495619189547096,0.12493553727139894,0.12939816994050998,45056,-2.0641415127878315e-05
52,81,3.9141907691955566,0.22363700499142508,0.12397205637275789,0.12491447219638836,0.12397206191090551,0.12395037638521261,0.12833587481709338,45056,-2.1679987545278334e-05
53,82,4.015589237213135,0.23153618303320406,0.13128561603918038,0.13229117561006914,0.13128561239703745,0.13126672605636092,0.13603676346290086,45056,-1.888998281945886e-05
54,83,4.0342936515808105,0.23094046151239878,0.1315865137384026,0.13259381323303257,0.1315865258066903,0.13156479064212948,0.13633887388897337,45056,-2.1723096273129627e-05
55,84,4.065796852111816,0.2275250115441177,0.13081869470452498,0.1318168798749634,0.1308187021319264,0.130799759179792,0.1354877325342025,45056,-1.8935524732976994e-05
56,85,4.082531929016113,0.22729407808912638,0.13123522710890628,0.1322363698959445,0.13123522405539753,0.13121690097829317,0.13591533319181448,45056,-1.832613061311661e-05
57,86,4.152428150177002,0.2259356822530206,0.1327525218339915,0.13376392363795203,0.1327525151784681,0.13273239175979823,0.137464065335143,45056,-2.013007419326973e-05
58,87,4.186883926391602,0.22556837536683866,0.13365513433018647,0.13467305377581165,0.13365513042507957,0.13362963314270765,0.13839251881516582,45056,-2.5501187478821352e-05
59,88,4.317816734313965,0.23300166270525913,0.14198434851206485,0.1430733481246992,0.14198435196097603,0.1419639444777043,0.14714825976036403,45056,-2.0404034360543832e-05
60,89,4.375899314880371,0.2336633022101563,0.1442683873254525,0.14537558905519887,0.14426838982224968,0.14424835009809192,0.14952705633404256,45056,-2.0037227360575338e-05
61,90,4.469422340393066,0.23760004929757664,0.14962432226022176,0.15077682355033215,0.14962431822285238,0.14959887073728204,0.1551497202191029,45056,-2.5451522939728966e-05
62,91,4.415277481079102,0.23518097296872292,0.14643230174965632,0.14755769829437074,0.14643229644453248,0.14640694709808819,0.15179694661436444,45056,-2.5354651568137987e-05
63,92,4.592479228973389,0.24585342673865984,0.15866805786772978,0.15989897006283227,0.1586680475142707,0.15864947097775084,0.1646485690053822,45056,-1.858688997893876e-05
64,93,4.693878650665283,0.22891149409766678,0.15186901929887128,0.15302935421878616,0.1518690227512437,0.1518417876211759,0.15731566605912548,45056,-2.723167769538848e-05
65,94,4.812997341156006,0.23126400192891577,0.15718675316189218,0.15839038993642426,0.15718675593110143,0.15716079983106865,0.16286996916993984,45056,-2.5953330823530463e-05
66,95,4.800199031829834,0.23244262875229485,0.15749994687372879,0.1587073170757538,0.1574999488109186,0.1574693752048032,0.16321734726033693,45056,-3.05716689255886e-05
67,96,4.795277118682861,0.2335561258630749,0.15802839135899768,0.1592410743202937,0.15802838224178797,0.1580035586254386,0.16378654903386322,45056,-2.4832733559077003e-05
68,97,4.765743732452393,0.23635295707530535,0.1587768835667572,0.15999847839184939,0.15877687659684747,0.15875055933331428,0.1646163568211791,45056,-2.6324233442925893e-05
69,98,4.659422397613525,0.2520164594451021,0.16491414848546268,0.1661974732421328,0.16491415145127092,0.16489276430237734,0.1710077692228451,45056,-2.138418308533785e-05
70,99,5.16444730758667,0.36801289786359576,0.2652610195426843,0.2674467272010982,0.26526098116839586,0.2652312290653399,0.2719383536395855,65536,-2.9790477344360244e-05
71,100,5.251079559326172,0.36785317875436657,0.2695947175499907,0.2718159883929912,0.2695947149518375,0.26956756825312334,0.2763849859286178,65536,-2.714929686736811e-05
72,101,5.401562690734863,0.36852292787359964,0.27782095587507355,0.2801106349638427,0.2778209547097261,0.2777837372393925,0.2848018168741951,65536,-3.721863568106887e-05
73,102,6.5282087326049805,0.6382492645519545,0.581299480326524,0.5866242551606158,0.5812994886338094,0.5812069100595939,0.5840758671416333,40960,-9.257026693010317e-05
74,103,6.245062351226807,0.6639719951996959,0.5786451960492525,0.5839879247700361,0.5786452661722019,0.5787268638590872,0.5804535961735153,61440,8.16678098347623e-05
75,104,6.114379405975342,0.6699678466026017,0.5716875924403886,0.5769757100088005,0.5716875664729066,0.5717670864450771,0.5732577855730583,61440,7.949400468854062e-05
76,105,5.805491924285889,0.6974376757856441,0.5652259288200826,0.5704973850988591,0.565225882842457,0.5653068912019402,0.565814447804736,61440,8.096238185761884e-05
77,106,6.09061861038208,0.7048845375315808,0.5993654674669118,0.6049675556850983,0.5993654744749172,0.5994467262037335,0.5997173376662888,61440,8.125873682174323e-05
78,107,5.892614364624023,0.7144567046918713,0.5878156950218866,0.5933560108315163,0.5878157463615318,0.5878938634310129,0.587820607766601,61440,7.81684091263335e-05
79,108,5.872813701629639,0.7142629639957809,0.5856803929468297,0.5912002718553608,0.5856803951151699,0.5857653125011583,0.5856921153606419,61440,8.491955432854414e-05
80,109,5.886673927307129,0.711696468067959,0.5849369375177284,0.5904456890771682,0.5849369702257038,0.585020664624953,0.5850391015651626,61440,8.372710722459598e-05
81,110,5.793612003326416,0.7165828906354483,0.5796730406314647,0.5851399862453772,0.5796730559562455,0.5797523106671657,0.5796038133494101,61440,7.927003570096236e-05
82,111,5.797572135925293,0.7165715580121316,0.5800600219818433,0.5855305992554395,0.580060005523796,0.5801366289687472,0.5799911431296141,61440,7.660698690392653e-05
83,112,5.853013515472412,0.7162249062357451,0.5853215569403334,0.5908412005425495,0.5853215405463194,0.5853958757512164,0.5852642367552487,61440,7.431881088304504e-05
84,113,5.932215213775635,0.7160598256455817,0.5931042027464695,0.5986969694125326,0.593104187563628,0.5931936704124607,0.5930520010162103,61440,8.946766599127187e-05
85,114,5.9183549880981445,0.7170340776475441,0.5925297986596404,0.5981187291301555,0.5925297831758536,0.5926121497981823,0.592442989915978,61440,8.235113854193621e-05
86,115,5.771831035614014,0.725494763654965,0.5847325722465818,0.5902614512860004,0.5847325559618276,0.5846477037547768,0.5843513065435938,61440,-8.486849180500133e-05
87,116,5.72035026550293,0.72792763310137,0.5814759530647542,0.5869778822293563,0.5814759274110519,0.5813853446633851,0.5810127496830297,61440,-9.060840136909665e-05
88,117,5.5876874923706055,0.7320492232655728,0.571232479999557,0.5766438646810068,0.5712324727477686,0.5711654221078802,0.5706379974028223,61440,-6.705789167671394e-05
89,118,5.19761848449707,0.7699720362985556,0.559114144350241,0.5645022388231103,0.5591142063326033,0.5590250285394642,0.5573025857706295,61440,-8.911581077675201e-05
90,119,5.1481170654296875,0.7698340402659776,0.5536891284589215,0.5590247436687209,0.5536891137054204,0.5536221963957092,0.5518994960706272,61440,-6.693206321228828e-05
91,120,5.078815937042236,0.7701166702367159,0.54643790038051,0.5517040419660068,0.5464378443463586,0.5463573722702767,0.5446629157482487,61440,-8.05281102332911e-05
92,121,5.1441569328308105,0.7633509479680122,0.5485649712332834,0.5538247050408274,0.5485649456454489,0.5484902721842175,0.546994979799112,61440,-7.469904906587388e-05
93,122,5.175837993621826,0.7614330638638684,0.5505450763756353,0.5558210164588728,0.5505450355211624,0.5504769542333598,0.5490299608000779,61440,-6.812214227547297e-05
94,123,5.171877861022949,0.7586125531349873,0.5480691054185715,0.5533172410004613,0.5480690445211692,0.5479838440564467,0.5466496475980628,61440,-8.526136212472224e-05
95,124,5.201578617095947,0.758503798262935,0.5511368441207989,0.5564141971200736,0.5511368444064074,0.5510523354781833,0.549712890944699,61440,-8.450864261555502e-05
