window,day,S0,sigma,exact,MC,Fourier,QAE,QSVT,qae_queries,qae_err
96,125,5.189698219299316,0.7585696700349905,0.5499261997440121,0.555192056000988,0.5499262676382481,0.5498568531937954,0.5485032894674974,61440,-6.93465502167312e-05
97,126,5.225338935852051,0.7581652292353261,0.5534051971939109,0.5587037757232809,0.553405121768584,0.5533212133756226,0.5519861698275796,61440,-8.398381828833568e-05
98,127,5.258999824523926,0.7541135352029394,0.5539690249998976,0.5592670632778789,0.5539690173152478,0.5538960335955233,0.5526780479033686,61440,-7.299140437433405e-05
99,128,5.223358631134033,0.6915945659193901,0.5042571212958605,0.5089518478576878,0.50425712895969,0.5043207011497165,0.5049630653263547,61440,6.35798538559662e-05
100,129,5.257019519805908,0.6900893077212418,0.5063940323559586,0.5111065483350848,0.5063940729349776,0.5064700923893511,0.5071499449698539,61440,7.60600333925554e-05
101,130,5.17385721206665,0.6861132928427319,0.49549093857467075,0.500096537266483,0.49549098033724853,0.4955524675207052,0.49635233009271074,61440,6.152894603445036e-05
102,131,5.225338935852051,0.3658245102866787,0.2668073160912582,0.26900378654463514,0.2668073153595302,0.2667723897069682,0.27357578123813875,65536,-3.4926384289979406e-05
103,132,5.300580978393555,0.3535630229968207,0.2616665541188989,0.263809765379691,0.26166655096645075,0.26163728367523237,0.2685951403882997,65536,-2.9270443666518098e-05
104,133,5.253059387207031,0.3505733848621879,0.25715130876972603,0.2592548989230533,0.2571513081425902,0.2571169200976233,0.2640309181011902,65536,-3.438867210270313e-05
105,134,5.352061748504639,0.3270409247918182,0.24461808734136925,0.24659914825866902,0.24461808362687432,0.2446486144750818,0.2517047262298293,65536,3.052713371254345e-05
106,135,5.217418670654297,0.2945002036863082,0.21508782511411487,0.2168046781951843,0.21508783890812258,0.21504780762824688,0.222020297655436,36864,-4.0017485867988034e-05
107,136,5.225338935852051,0.2826123388094004,0.2068769861948368,0.20851072909318977,0.20687700075173301,0.20685800698441378,0.21380548050066814,45056,-1.8979210423014647e-05
108,137,5.225338935852051,0.2828698152988936,0.20706180468122312,0.20869720342009218,0.20706179623698012,0.20701274148808824,0.21399074546574542,36864,-4.906319313488505e-05
109,138,5.260980129241943,0.28407222858000464,0.20934318125292725,0.21099752442294387,0.20934317627193166,0.209301319545484,0.2163214043630491,36864,-4.186170744324702e-05
110,139,5.375822067260742,0.2911854423727481,0.21916804767897455,0.22091481213277425,0.2191680362342691,0.2191236743598302,0.2263081257450786,36864,-4.437331914433629e-05
111,140,5.403542995452881,0.29193126629122834,0.22085223225815737,0.22261302315078219,0.22085224827831765,0.22080044048931566,0.22802986495085117,36864,-5.1791768841708e-05
112,141,5.447103977203369,0.2914157647609875,0.22224662231303022,0.22401811055708712,0.22224663399224903,0.22220833571260043,0.2294816104719953,36864,-3.828660042978771e-05
113,142,5.462944507598877,0.2878689891540004,0.22022972256709974,0.22198226513781763,0.22022974380139482,0.22017867363215943,0.22748158319257902,36864,-5.104893494031759e-05
114,143,5.522345542907715,0.2906734892279756,0.2247530572103295,0.22654391212075564,0.22475307199969924,0.22470527103926663,0.23208719883447557,36864,-4.778617106288019e-05
115,144,5.5164055824279785,0.2823084291428791,0.2181703441756355,0.21989302842562494,0.21817034659443119,0.2181499381681182,0.22548421154409937,45056,-2.0406007517292934e-05
116,145,5.4688849449157715,0.28223732649758854,0.21623751838589175,0.21794488429621342,0.2162375250035139,0.21621030954637413,0.22348824890162486,45056,-2.7208839517622874e-05
117,146,5.508485794067383,0.2752001385029785,0.21248006842542114,0.21415222852562582,0.2124800719226018,0.21245879437266096,0.2197677999153009,45056,-2.1274052760172912e-05
118,147,5.710450172424316,0.19388012919402955,0.15882664033386729,0.15999751202126647,0.1588266300476301,0.15880617315114703,0.16377396003309364,53248,-2.046718272025183e-05
119,148,5.518385410308838,0.22034205861014597,0.17242744214218145,0.17373400675351716,0.17242742845597908,0.1723995079638071,0.17842408887117212,45056,-2.7934178374350305e-05
120,149,5.544126033782959,0.21495269081239057,0.16936189080638073,0.17063838733489067,0.1693618946336032,0.16933831806881228,0.17513277636682995,45056,-2.357273756845024e-05
121,150,5.526305675506592,0.21358477820923563,0.1678379406759656,0.16910121257872943,0.16783794386561482,0.16782203537270407,0.17352648329765424,53248,-1.5905303261537496e-05
122,151,5.536206245422363,0.2132970209929531,0.1679321678507026,0.16919578209176106,0.16793218232258506,0.16791362432794338,0.17361747861165858,53248,-1.8543522759234543e-05
123,152,5.581747055053711,0.21376445442021008,0.16965170603460866,0.1709288609262422,0.16965169579504494,0.16963288073019245,0.17540577167685323,53248,-1.882530441621455e-05
124,153,5.767871379852295,0.23146118796089968,0.1885187972781511,0.189962622760857,0.18851880276409635,0.18849250575995938,0.19533943561148673,45056,-2.6291518191723373e-05
125,154,5.65104866027832,0.24157555585433482,0.1920819542669736,0.1935668752741636,0.19208195309141732,0.19205988227150486,0.19926659429628288,45056,-2.2071995468747607e-05
126,155,5.58372688293457,0.24518392342383039,0.19240333101175375,0.1938954493079883,0.19240333074965724,0.1923790060394598,0.19967109352814533,45056,-2.43249722939598e-05
127,156,5.490664958953857,0.25114804315964173,0.1936816413363174,0.1951881767303308,0.19368163964752994,0.19366225064874024,0.20085827270344292,45056,-1.9390687577169885e-05
128,157,5.437203884124756,0.2521861400008044,0.19256910641373312,0.19406776226999634,0.19256909407915276,0.19254743326919022,0.1996806984266509,45056,-2.1673144542905254e-05
129,158,5.502545356750488,0.2537002508319965,0.19602486115643036,0.19755155797265106,0.196024869574352,0.1960067889368699,0.20322887778001747,45056,-1.807221956046101e-05
130,159,5.645108699798584,0.25739508242426146,0.20396213210278086,0.20555354467784542,0.20396213180131775,0.2039350468280898,0.21136930563641101,45056,-2.7085274691057704e-05
131,160,5.724310398101807,0.2586384018050728,0.20779936211283334,0.20942170383286332,0.20779936938895938,0.20777333458420574,0.21531579662822148,45056,-2.602752862759794e-05
132,161,5.823312282562256,0.2598780212538333,0.21238288846491038,0.21404202074685788,0.21238288737533673,0.21235694291581378,0.22003458171032586,45056,-2.594554909660096e-05
133,162,5.605507850646973,0.28516854164646704,0.22389684313962327,0.22566709860221915,0.2238968418481666,0.22384925530148134,0.23133389564176493,36864,-4.758783814193257e-05
134,163,5.104556083679199,0.3970799009298199,0.28272545248526776,0.28508256860276937,0.2827254505718194,0.28276340582336523,0.2891260022845726,57344,3.795333809747392e-05
135,164,5.369882106781006,0.4187808045433974,0.31358182165245013,0.3162185435394035,0.31358183743615115,0.31354519055011454,0.32010987355290915,57344,-3.6631102335593635e-05
136,165,5.559032917022705,0.4303610226243366,0.3335650735521988,0.3363823663835513,0.3335650738357815,0.33352466389167196,0.3401923135306274,57344,-4.0409660526818936e-05
137,166,5.5908894538879395,0.4304355789799893,0.3355344918748936,0.3383684993484687,0.3355344686204876,0.33548885891774716,0.34219882396842166,57344,-4.563295714643534e-05
138,167,5.734245777130127,0.43559626475102076,0.34824871929331147,0.35119591786169674,0.348248714873851,0.3481991071512786,0.3550197951246179,57344,-4.961214203286213e-05
139,168,5.774066925048828,0.4320834226331023,0.3478493614775512,0.3507892365211123,0.34784937128090987,0.34780184730174685,0.3547116878433375,57344,-4.751417580434181e-05
140,169,5.857690811157227,0.4334542792008071,0.35400259973164255,0.35699604668409796,0.3540025890261012,0.35396163854649576,0.360946938950322,57344,-4.096118514679281e-05
141,170,5.939324855804443,0.43442463610839915,0.359736689701789,0.3627797506886806,0.3597367059060989,0.3596917970952979,0.3667652303273102,57344,-4.4892606491098164e-05
142,171,5.947288990020752,0.43445166345143466,0.36024139694134905,0.36328875872627586,0.36024138006907674,0.3602005342232099,0.3672790102006216,57344,-4.086271813913411e-05
143,172,6.044850826263428,0.4356391595534721,0.3671482206444086,0.37025541481595065,0.36714822921415813,0.3671025345163329,0.3742854903632895,57344,-4.5686128075705934e-05
144,173,5.8059234619140625,0.45401834571872557,0.3674705239965518,0.3706145239243783,0.3674705611237112,0.36742199483242477,0.3740742692581392,57344,-4.852916412700914e-05
145,174,5.841762542724609,0.45305817950306454,0.36895869183349655,0.37211429803685975,0.3689586982461931,0.3689008707887381,0.37561719304241203,57344,-5.782104475843264e-05
146,175,5.935342311859131,0.45462912930347554,0.3761660061652395,0.37938513281376784,0.3761659988878668,0.3761237203168545,0.38290786613191896,57344,-4.2285848385004154e-05
147,176,5.989100933074951,0.44359258664658757,0.3703818155118468,0.3735258477660143,0.37038178433484753,0.37033143329223195,0.3773449843967296,57344,-5.0382219614841794e-05
148,177,6.232010364532471,0.44337392510124307,0.38521455482753797,0.38848422647314146,0.3852145844512655,0.3851627936093966,0.39246332167820397,57344,-5.176121814137735e-05
149,178,6.32160758972168,0.44436971590764945,0.3916278138116187,0.3949531712291318,0.3916278258152489,0.39157413858814744,0.3989660587804179,57344,-5.367522347127229e-05
150,179,6.3952765464782715,0.44419058427204583,0.39603240410408214,0.39939493398580955,0.39603241540969175,0.3959853812282923,0.40345885479158894,57344,-4.7022875789837215e-05
151,180,6.387312412261963,0.4444803220619729,0.39579648049177885,0.3991573748728473,0.3957964640068791,0.39574209804747645,0.4032093367670702,57344,-5.438244430239214e-05
152,181,6.295723915100098,0.44798017355829234,0.393184465575003,0.396527586085958,0.39318444328731916,0.3931368030469787,0.40043861750363874,57344,-4.7662528024294826e-05
153,182,6.393285751342773,0.44083864209279083,0.3929304525814666,0.3962624181464409,0.39293043244534354,0.39288109790749526,0.4004042962497985,57344,-4.935467397132465e-05
154,183,6.204134941101074,0.4463978567717153,0.3860995849716948,0.38938051013243896,0.38609962378704477,0.3860499587787187,0.393271705188514,57344,-4.9626192976048866e-05
155,184,6.455008506774902,0.45640051745670984,0.4106916575433371,0.4142085551388345,0.41069167457543204,0.4106393440032961,0.4179949174486775,57344,-5.231354004098243e-05
156,185,6.799461364746094,0.47161721704799997,0.44700731080629097,0.4508566747624625,0.44700730915146086,0.4469526431984542,0.45442514383628907,57344,-5.4667607836789145e-05
157,186,6.685971260070801,0.4743740989994246,0.4421130897340689,0.4459241357769531,0.4421130922121995,0.44205436480218097,0.4493555056210574,57344,-5.872493188791017e-05
158,187,7.000558376312256,0.487899481839051,0.4761069083995463,0.4802311093252008,0.47610688942844254,0.4761896921488232,0.4834130718742922,49152,8.278374927689347e-05
159,188,6.628230571746826,0.5186827664611167,0.4792471442983095,0.48344404526516127,0.4792471594926397,0.4791838440358382,0.4854989365165011,49152,-6.330026247131082e-05
160,189,6.67402458190918,0.5180716833799699,0.4819888551140692,0.4862088658060244,0.48198882595875625,0.48190843618864365,0.48829807049898594,49152,-8.041892542554052e-05
161,190,6.6580963134765625,0.5172488402698178,0.48007371281113126,0.48427574779455795,0.48007370451541576,0.47998719839244763,0.4863869277472017,49152,-8.65144186836253e-05
162,191,6.683980464935303,0.5005639091242818,0.46637860990054053,0.4704368553630382,0.46637857849142944,0.4663136037276877,0.47308972968520424,49152,-6.500617285282173e-05
163,192,6.801452159881592,0.3980782186090367,0.3776522264329289,0.380802006009538,0.3776522427477468,0.37770750341005777,0.3861696901717914,57344,5.527697712887081e-05
164,193,7.10608434677124,0.39222684657519924,0.38880558426550843,0.39204084620455587,0.38880557931521614,0.3888564607724733,0.3977690570351966,57344,5.087650696489199e-05
165,194,7.171789169311523,0.3847560282006777,0.384980056133647,0.38817390455984646,0.38498008078183377,0.38503988085549357,0.39410366712635664,57344,5.982472184656862e-05
166,195,7.454519271850586,0.3945270062678803,0.41024557010987917,0.4136623668065658,0.41024557532980527,0.41030619607381114,0.4196224468063671,57344,6.062596393197062e-05
167,196,7.43062686920166,0.393467670454636,0.4078400961785446,0.4112354251508644,0.4078400851771787,0.4079033440069076,0.4171989835436025,57344,6.324782836297782e-05
168,197,7.2992167472839355,0.4013031315547989,0.40855337902202543,0.411965240315651,0.40855335780495056,0.40861149029661054,0.4176559150480329,57344,5.811127458510423e-05
169,198,7.068253993988037,0.41783470195171324,0.4118325844232962,0.4152941675534763,0.4118326157370388,0.4117713775372143,0.4204382165792873,57344,-6.120688608185487e-05
170,199,6.885076999664307,0.42806927590899063,0.41094189621706356,0.41440966539448154,0.4109418992374301,0.4108943633904755,0.4191832221863394,57344,-4.7532826588037036e-05
171,200,6.8711395263671875,0.42844990869287064,0.4104732216646356,0.41393754200571614,0.4104732055477422,0.41041571810276883,0.4186923964770598,57344,-5.750356186678962e-05
172,201,7.0085225105285645,0.4294111715042858,0.4196159150122692,0.4231587040935559,0.4196159231614228,0.41955248802954753,0.42798526711065016,57344,-6.342698272165936e-05
173,202,7.267360210418701,0.41562105841872704,0.421201184045796,0.42473846936132426,0.4212012010055449,0.42115097540619684,0.43007986270837656,57344,-5.020863959914745e-05
174,203,7.1996636390686035,0.4186590349513586,0.420312818384142,0.42384681049481077,0.420312804887352,0.4202614317431493,0.4290669946937794,57344,-5.138664099268997e-05
175,204,6.835300445556641,0.45237986612166775,0.4310644893119424,0.43475034000315427,0.43106451354872427,0.43099638830614156,0.4388669410506202,57344,-6.810100580084688e-05
176,205,6.908969402313232,0.4525482952443447,0.43587222769448364,0.43959942086383264,0.4358722428575934,0.4358135756438282,0.44375588902875485,57344,-5.8652050655416677e-05
177,206,6.765613555908203,0.44583804831700286,0.4205153128892722,0.42408793582785614,0.4205153267356474,0.42046097807074334,0.4283455171777451,57344,-5.433481852884503e-05
178,207,7.076218128204346,0.4617566434487943,0.45548882527938495,0.4593970654996511,0.45548880861235447,0.4554349498667903,0.4633970689988043,57344,-5.3875412594661665e-05
179,208,7.317136287689209,0.46948671646777446,0.47886953051518394,0.482990063966316,0.47886953762162,0.47880054001001066,0.48689517043151553,57344,-6.899050517328309e-05
180,209,7.442572593688965,0.47050602868550545,0.4881349407547219,0.492336766015369,0.4881349551100784,0.48806074392012405,0.49627727739029026,57344,-7.419683459786164e-05
181,210,7.984140872955322,0.5036265903536846,0.5605088806180873,0.5653915090391621,0.5605088428238334,0.5604136710985772,0.5684460736276115,49152,-9.520951951014212e-05
182,211,8.019979476928711,0.5032518210723508,0.5626055753929149,0.56750581806602,0.5626055702501696,0.5625140952909576,0.5705882125641872,49152,-9.148010195725309e-05
183,212,7.998078346252441,0.49106017182831585,0.547471722143514,0.5522194903448493,0.5474717129669301,0.5475759031792813,0.5557417485654078,49152,0.00010418103576725901
184,213,8.579466819763184,0.5159561055144357,0.6170634850578355,0.622462136561424,0.6170634800400654,0.6169584671263684,0.6252369517151235,49152,-0.00010501793146711069
185,214,8.700921058654785,0.49991701351595724,0.6063267818382917,0.6116015900847311,0.6063267220256479,0.6062437568937155,0.6150811426441184,49152,-8.302494457623766e-05
186,215,8.493850708007812,0.5036691403110004,0.5963423439599507,0.6015371981907138,0.5963423850418289,0.5962515958057486,0.6047850681441075,49152,-9.074815420206939e-05
187,216,8.553583145141602,0.4903225664627407,0.5846167738512303,0.5896853303398725,0.5846167370805087,0.5847068114356309,0.5934805781951501,49152,9.003758440051524e-05
188,217,8.607341766357422,0.4529464302032901,0.5434955647854854,0.5481437456081248,0.5434955543590394,0.5434105821564694,0.5533086929768868,57344,-8.498262901601716e-05
189,218,8.898036003112793,0.4584515727514004,0.5686652273957371,0.5735386071876998,0.5686652376801462,0.5685958287799714,0.5786859058979509,57344,-6.939861576571449e-05
190,219,8.792510032653809,0.46160849330089915,0.5657834840217855,0.5706378226822051,0.5657834723642037,0.5657084637400748,0.5756132388276374,57344,-7.502028171069153e-05
191,220,8.471949577331543,0.48157922779888046,0.5687145470146096,0.5736297377045249,0.5687145841500109,0.5686286856796802,0.5777159663929119,57344,-8.586133492938242e-05
